Year,Gebietseinheit,GeoCode,Value
2018,Braunschweig-St,K03101,193.92
2018,Salzgitter-Stad,K03102,66.69
2018,Wolfsburg-Stadt,K03103,193.33
2018,Gifhorn,K03151,57.38
2018,Goslar,K03153,49.41
2018,Helmstedt,K03154,48.82
2018,Northeim,K03155,43.07
2018,Peine,K03157,93.65
2018,Wolfenbüttel,K03158,120.7
2018,Göttingen,K03159,87.2
2018,Hannover-Region,K03241,145.77
2018,Diepholz,K03251,58.93
2018,Hameln-Pyrmont,K03252,35.11
2018,Hildesheim,K03254,59.63
2018,Holzminden,K03255,29.16
2018,Nienburg (Weser,K03256,42.06
2018,Schaumburg,K03257,47.44
2018,Celle,K03351,47.42
2018,Cuxhaven,K03352,52.71
2018,Harburg,K03353,123.53
2018,Lüchow-Dannenbe,K03354,16.15
2018,Lüneburg,K03355,87.91
2018,Osterholz,K03356,84.82
2018,Rotenburg (Wümm,K03357,37.77
2018,Heidekreis,K03358,38.86
2018,Stade,K03359,77.34
2018,Uelzen,K03360,39.41
2018,Verden,K03361,66.23
2018,Delmenhorst-Sta,K03401,106.49
2018,Emden-Stadt,K03402,32.32
2018,Oldenburg(Oldb),K03403,301.95
2018,Osnabrück-Stadt,K03404,175.12
2018,Wilhelmshaven-S,K03405,69.05
2018,Ammerland,K03451,52.29
2018,Aurich,K03452,44.56
2018,Cloppenburg,K03453,54.82
2018,Emsland,K03454,48.58
2018,Friesland,K03455,42.48
2018,Grafschaft Bent,K03456,48.38
2018,Leer,K03457,52.57
2018,Oldenburg,K03458,72.48
2018,Osnabrück,K03459,65.84
2018,Vechta,K03460,69.43
2018,Wesermarsch,K03461,40.79
2018,Wittmund,K03462,43.8
2018,Stat. Region Braunschweig,,86.63
2018,Stat. Region Hannover,,87.41
2018,Stat. Region Lüneburg,,63.95
2018,Stat. Region Weser-Ems,,64.54
2018,Niedersachsen,,71.3
2017,Braunschweig-St,K03101,213.19
2017,Salzgitter-Stad,K03102,87.72
2017,Wolfsburg-Stadt,K03103,201.86
2017,Gifhorn,K03151,54.35
2017,Goslar,K03153,35.1
2017,Helmstedt,K03154,44.75
2017,Northeim,K03155,40.17
2017,Peine,K03157,62.06
2017,Wolfenbüttel,K03158,105.86
2017,Göttingen,K03159,131.11
2017,Hannover-Region,K03241,145.56
2017,Diepholz,K03251,58.27
2017,Hameln-Pyrmont,K03252,44.5
2017,Hildesheim,K03254,39.5
2017,Holzminden,K03255,24.75
2017,Nienburg (Weser,K03256,40.32
2017,Schaumburg,K03257,47.84
2017,Celle,K03351,45.92
2017,Cuxhaven,K03352,52.14
2017,Harburg,K03353,122.58
2017,Lüchow-Dannenbe,K03354,17.61
2017,Lüneburg,K03355,87.63
2017,Osterholz,K03356,73.26
2017,Rotenburg (Wümm,K03357,41.78
2017,Heidekreis,K03358,34.82
2017,Stade,K03359,77.97
2017,Uelzen,K03360,39.06
2017,Verden,K03361,71.38
2017,Delmenhorst-Sta,K03401,95.96
2017,Emden-Stadt,K03402,36.79
2017,Oldenburg(Oldb),K03403,255.22
2017,Osnabrück-Stadt,K03404,192.23
2017,Wilhelmshaven-S,K03405,106.53
2017,Ammerland,K03451,62.71
2017,Aurich,K03452,41.58
2017,Cloppenburg,K03453,53.62
2017,Emsland,K03454,43.39
2017,Friesland,K03455,60.92
2017,Grafschaft Bent,K03456,51.73
2017,Leer,K03457,48.71
2017,Oldenburg,K03458,70.57
2017,Osnabrück,K03459,57.72
2017,Vechta,K03460,67.47
2017,Wesermarsch,K03461,45.32
2017,Wittmund,K03462,44.68
2017,Stat. Region Braunschweig,,75.5
2017,Stat. Region Hannover,,82.01
2017,Stat. Region Lüneburg,,66.22
2017,Stat. Region Weser-Ems,,63.16
2017,Niedersachsen,,69.7
2016,Braunschweig-St,K03101,108.5
2016,Salzgitter-Stad,K03102,79.54
2016,Wolfsburg-Stadt,K03103,78.73
2016,Gifhorn,K03151,45.89
2016,Goslar,K03153,51.73
2016,Helmstedt,K03154,46.53
2016,Northeim,K03155,55.97
2016,Peine,K03157,66.22
2016,Wolfenbüttel,K03158,71.64
2016,Göttingen,K03159,125.1
2016,Hannover-Region,K03241,110.92
2016,Diepholz,K03251,53.23
2016,Hameln-Pyrmont,K03252,43.57
2016,Hildesheim,K03254,59.65
2016,Holzminden,K03255,26.81
2016,Nienburg (Weser,K03256,29.14
2016,Schaumburg,K03257,60.87
2016,Celle,K03351,44.19
2016,Cuxhaven,K03352,37.92
2016,Harburg,K03353,103.27
2016,Lüchow-Dannenbe,K03354,15.61
2016,Lüneburg,K03355,74.91
2016,Osterholz,K03356,76.8
2016,Rotenburg (Wümm,K03357,41.95
2016,Heidekreis,K03358,37.22
2016,Stade,K03359,61.55
2016,Uelzen,K03360,38.13
2016,Verden,K03361,74.55
2016,Delmenhorst-Sta,K03401,70.41
2016,Emden-Stadt,K03402,58.77
2016,Oldenburg(Oldb),K03403,183.84
2016,Osnabrück-Stadt,K03404,149.5
2016,Wilhelmshaven-S,K03405,14.37
2016,Ammerland,K03451,58.03
2016,Aurich,K03452,65.08
2016,Cloppenburg,K03453,48.69
2016,Emsland,K03454,37.7
2016,Friesland,K03455,50.71
2016,Grafschaft Bent,K03456,43.49
2016,Leer,K03457,40.38
2016,Oldenburg,K03458,70.27
2016,Osnabrück,K03459,52.16
2016,Vechta,K03460,51.81
2016,Wesermarsch,K03461,42.7
2016,Wittmund,K03462,42.03
2016,Stat. Region Braunschweig,,62.43
2016,Stat. Region Hannover,,79.19
2016,Stat. Region Lüneburg,,60.17
2016,Stat. Region Weser-Ems,,52.91
2016,Niedersachsen,,
2015,Braunschweig-St,K03101,98.23
2015,Salzgitter-Stad,K03102,82.51
2015,Wolfsburg-Stadt,K03103,84.93
2015,Gifhorn,K03151,42.91
2015,Goslar,K03153,23.43
2015,Helmstedt,K03154,43.86
2015,Northeim,K03155,43.41
2015,Peine,K03157,61.29
2015,Wolfenbüttel,K03158,77.3
2015,Göttingen,K03159,109.15
2015,Hannover-Region,K03241,130.71
2015,Diepholz,K03251,48.72
2015,Hameln-Pyrmont,K03252,45.63
2015,Hildesheim,K03254,59.2
2015,Holzminden,K03255,30.73
2015,Nienburg (Weser,K03256,35.39
2015,Schaumburg,K03257,57.23
2015,Celle,K03351,44.78
2015,Cuxhaven,K03352,38.5
2015,Harburg,K03353,106.67
2015,Lüchow-Dannenbe,K03354,18.07
2015,Lüneburg,K03355,111.94
2015,Osterholz,K03356,70.04
2015,Rotenburg (Wümm,K03357,42.76
2015,Heidekreis,K03358,36.56
2015,Stade,K03359,67.02
2015,Uelzen,K03360,36.41
2015,Verden,K03361,64.72
2015,Delmenhorst-Sta,K03401,88.41
2015,Emden-Stadt,K03402,30.78
2015,Oldenburg(Oldb),K03403,166.01
2015,Osnabrück-Stadt,K03404,181.25
2015,Wilhelmshaven-S,K03405,94.54
2015,Ammerland,K03451,50.99
2015,Aurich,K03452,44.39
2015,Cloppenburg,K03453,43.07
2015,Emsland,K03454,47.65
2015,Friesland,K03455,48.35
2015,Grafschaft Bent,K03456,42.51
2015,Leer,K03457,41.06
2015,Oldenburg,K03458,73.42
2015,Osnabrück,K03459,58.29
2015,Vechta,K03460,51.27
2015,Wesermarsch,K03461,28.53
2015,Wittmund,K03462,38.41
2015,Stat. Region Braunschweig,,59.48
2015,Stat. Region Hannover,,80.79
2015,Stat. Region Lüneburg,,64.29
2015,Stat. Region Weser-Ems,,55.32
2015,Niedersachsen,,62.45
2014,Braunschweig-St,K03101,100.38
2014,Salzgitter-Stad,K03102,33.58
2014,Wolfsburg-Stadt,K03103,93.58
2014,Gifhorn,K03151,50.17
2014,Goslar,K03153,36.53
2014,Helmstedt,K03154,59.42
2014,Northeim,K03155,34.3
2014,Peine,K03157,53.56
2014,Wolfenbüttel,K03158,106.78
2014,Göttingen,K03159,100.13
2014,Hannover-Region,K03241,106.61
2014,Diepholz,K03251,49.51
2014,Hameln-Pyrmont,K03252,45.52
2014,Hildesheim,K03254,71.74
2014,Holzminden,K03255,46.06
2014,Nienburg (Weser,K03256,29.07
2014,Schaumburg,K03257,51.95
2014,Celle,K03351,42.92
2014,Cuxhaven,K03352,44.66
2014,Harburg,K03353,79.85
2014,Lüchow-Dannenbe,K03354,16.01
2014,Lüneburg,K03355,74.98
2014,Osterholz,K03356,64.19
2014,Rotenburg (Wümm,K03357,37.66
2014,Heidekreis,K03358,28.55
2014,Stade,K03359,69.12
2014,Uelzen,K03360,19.66
2014,Verden,K03361,68.99
2014,Delmenhorst-Sta,K03401,92.7
2014,Emden-Stadt,K03402,84.78
2014,Oldenburg(Oldb),K03403,171.1
2014,Osnabrück-Stadt,K03404,193.27
2014,Wilhelmshaven-S,K03405,51.22
2014,Ammerland,K03451,43.86
2014,Aurich,K03452,43.96
2014,Cloppenburg,K03453,33.47
2014,Emsland,K03454,43.93
2014,Friesland,K03455,65.85
2014,Grafschaft Bent,K03456,37.78
2014,Leer,K03457,30.98
2014,Oldenburg,K03458,67.21
2014,Osnabrück,K03459,56.29
2014,Vechta,K03460,46.2
2014,Wesermarsch,K03461,40.89
2014,Wittmund,K03462,40.21
2014,Stat. Region Braunschweig,,63.62
2014,Stat. Region Hannover,,77.55
2014,Stat. Region Lüneburg,,55.47
2014,Stat. Region Weser-Ems,,50.64
2014,Niedersachsen,,58.77
2013,Braunschweig-St,K03101,72.27
2013,Salzgitter-Stad,K03102,62.48
2013,Wolfsburg-Stadt,K03103,53.33
2013,Gifhorn,K03151,54.09
2013,Goslar,K03153,36.99
2013,Helmstedt,K03154,58.81
2013,Northeim,K03155,38.19
2013,Peine,K03157,56.06
2013,Wolfenbüttel,K03158,74.0
2013,Göttingen,K03159,96.41
2013,Hannover-Region,K03241,128.62
2013,Diepholz,K03251,47.45
2013,Hameln-Pyrmont,K03252,50.75
2013,Hildesheim,K03254,62.34
2013,Holzminden,K03255,43.87
2013,Nienburg (Weser,K03256,25.69
2013,Schaumburg,K03257,47.66
2013,Celle,K03351,49.92
2013,Cuxhaven,K03352,39.67
2013,Harburg,K03353,71.84
2013,Lüchow-Dannenbe,K03354,13.08
2013,Lüneburg,K03355,82.28
2013,Osterholz,K03356,68.59
2013,Rotenburg (Wümm,K03357,38.98
2013,Heidekreis,K03358,41.92
2013,Stade,K03359,67.75
2013,Uelzen,K03360,25.88
2013,Verden,K03361,58.24
2013,Delmenhorst-Sta,K03401,68.64
2013,Emden-Stadt,K03402,31.42
2013,Oldenburg(Oldb),K03403,136.19
2013,Osnabrück-Stadt,K03404,175.85
2013,Wilhelmshaven-S,K03405,71.61
2013,Ammerland,K03451,38.76
2013,Aurich,K03452,42.0
2013,Cloppenburg,K03453,35.89
2013,Emsland,K03454,43.19
2013,Friesland,K03455,62.91
2013,Grafschaft Bent,K03456,55.75
2013,Leer,K03457,35.07
2013,Oldenburg,K03458,53.66
2013,Osnabrück,K03459,44.06
2013,Vechta,K03460,47.69
2013,Wesermarsch,K03461,30.76
2013,Wittmund,K03462,26.28
2013,Stat. Region Braunschweig,,57.63
2013,Stat. Region Hannover,,81.36
2013,Stat. Region Lüneburg,,57.89
2013,Stat. Region Weser-Ems,,49.32
2013,Niedersachsen,,57.64
2012,Braunschweig-St,K03101,107.06
2012,Salzgitter-Stad,K03102,49.79
2012,Wolfsburg-Stadt,K03103,64.13
2012,Gifhorn,K03151,57.18
2012,Goslar,K03153,33.58
2012,Helmstedt,K03154,44.62
2012,Northeim,K03155,24.48
2012,Peine,K03157,70.0
2012,Wolfenbüttel,K03158,73.16
2012,Göttingen,K03159,70.87
2012,Hannover-Region,K03241,111.2
